No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL
1882,cowboy painting,320,64,0,$0.41,100,30,https://eastendprints.co.uk/products/pink-horse-cowboy.html
1883,sci fi film posters,320,84,0,$0.16,57,18,https://eastendprints.co.uk/categories/film-movie-art-prints
1884,quirky prints,320,22,0,$0.63,100,14,https://eastendprints.co.uk/categories/inspiration/styles-and-trends/bright-and-fun.html
1885,small black photo frame,320,54,0,$0.37,100,52,https://eastendprints.co.uk/products/narrow-black-frame.html
1886,cheap artwork,320,11,4,$1.52,99,44,https://eastendprints.co.uk/
1887,documentary film poster,260,65,0,$0,4,35,https://eastendprints.co.uk/categories/film-movie-art-prints
1888,frame shop london,390,15,3,$1.81,100,37,https://eastendprints.co.uk/blog/where-can-i-get-my-pictures-framed-in-east-london/
1889,framed art prints uk,320,3,31,$1.17,100,58,https://eastendprints.co.uk/
1890,minimal abstract art,320,53,0,$0.60,100,37,https://eastendprints.co.uk/categories/inspiration/styles-and-trends/minimalist.html
1891,islington print by atlantis print,320,24,0,$1.45,5,10,https://eastendprints.co.uk/products/islington.html
1892,geometric shape art,320,8,15,$0.30,54,54,https://eastendprints.co.uk/products/geometric-shapes-colors-i.html
1893,tate modern posters,320,15,2,$0.58,100,25,https://eastendprints.co.uk/products/tate-modern.html
1894,nursery photo frames,320,34,0,$0.50,100,26,https://eastendprints.co.uk/categories/nursery-art-prints
1895,nursery poster,320,5,21,$0.60,100,22,https://eastendprints.co.uk/categories/nursery-art-prints
1896,poster nursery,320,7,15,$0.74,100,20,https://eastendprints.co.uk/categories/nursery-art-prints
1897,picture frames for nursery,320,37,0,$0.53,99,24,https://eastendprints.co.uk/categories/nursery-art-prints
1898,floral wall art on canvas,320,59,0,$0.48,100,19,https://eastendprints.co.uk/categories/floral-art-prints
1899,floral wall canvas art,320,47,0,$0.55,100,18,https://eastendprints.co.uk/categories/floral-art-prints
1900,black and white picture with frame,320,16,2,$0.57,100,35,https://eastendprints.co.uk/categories/black-and-white-art-prints
1901,abstract posters,320,15,3,$0.46,100,44,https://eastendprints.co.uk/categories/abstract-prints/
1902,blue canvas wall art,320,57,0,$0.46,100,29,https://eastendprints.co.uk/categories/blue-art-prints
1903,artwork home,320,1,97,$0.71,100,79,https://eastendprints.co.uk/
1904,comedy film posters,320,63,0,$0,12,30,https://eastendprints.co.uk/categories/film-movie-art-prints
1905,modern picture,390,57,0,$0.39,100,46,https://eastendprints.co.uk/categories/inspiration/styles-and-trends/bright-and-fun.html
1906,anthony green artist,320,18,1,$0,1,45,https://eastendprints.co.uk/categories/artists/artists-s-z/tony-green.html
1907,canvas pink wall art,320,18,1,$0.32,100,29,https://eastendprints.co.uk/categories/pink-art-prints
